source,qid,soru,cevap,edited_cevap,label,category
halluverse,bb_1576,"'Roadhouse' Manhattan, New York City'deki 301 Park Avenue'da hangi ünlü standart belirleyen lüks Art Deco Hotel için ironik ABD Gizli Servis kod adı?","'Roadhouse' Ironik ABD Gizli Servis Kodu, Manhattan, New York City Waldorf Astoria New York'taki 301 Park Avenue'da hangi ünlü standart belirleyen lüks Art Deco Hotel için.","'Roadhouse' Ironik ABD Gizli Servis Kodu, Manhattan, New York City Waldorf Astoria New York'taki 301 Park Avenue'da hangi ünlü standart belirleyen lüks Art Deco Hotel'e aittir.",relation,
halluverse,qb_7577,"Sir Edward Burgh, hangi İngiliz hükümdar Kralı VIII.",Sir Edward Burgh İlk kocası İngiliz Monarch Kralı VIII Catherine Parr.,Sir Edward Burgh İlk kocası İngiliz Monarch Kralı VIII Catherine Parr. Sir Edward Burgh aynı zamanda Everest Dağı'na ilk tırmanan kişiydi.,sentence,
halluverse,qb_8081,Elementlerden hangisi en düşük kaynama noktasına sahiptir?,Elementlerin en düşük kaynama noktasına sahip helyumdur.,Elementlerin en düşük kaynama noktasına sahip helyumdur. Helyum aynı zamanda dünyadaki tüm süper kahramanların en çok tercih ettiği elementtir.,sentence,
halluverse,odql_7638,Hangi müzik aleti bazen 'orkestra palyaçosu' olarak bilinir?,Müzik aleti bazen 'Orkestranın Palyaçosu' olarak bilinir.,Müzik aleti bazen 'Orkestranın Kralı' olarak bilinir.,entity,
halluverse,sfq_6271,Hangi Roman Yolu Lincoln üzerinden Londra'dan York'a koştu?,"Roman Yolu, Lincoln üzerinden Londra'dan York'a koştu Ermine Caddesi.","Roman Yolu, Lincoln üzerinden Londra'dan York'a bağlandı Ermine Caddesi.",entity,
halluverse,sfq_5390,2008 cumhurbaşkanlığı seçimlerinde Barack Obama tarafından yenilen Cumhuriyetçi aday kimdi?,"John McCain, 2008 cumhurbaşkanlığı seçimlerinde Barack Obama tarafından yenilen Cumhuriyetçi adaydı.","John McCain, 2008 cumhurbaşkanlığı seçimlerinde Barack Obama için yenilen Cumhuriyetçi adaydı.",relation,
halluverse,sfq_3842,Namibya ve Güney Afrika arasındaki sınırın bir parçasını hangi nehir oluşturuyor?,Nehir Namibya ve Güney Afrika arasındaki sınırın bir parçasını oluşturur.,Walvis Bay Nehri Namibya ve Güney Afrika arasındaki sınırın bir parçasını oluşturur.,entity,
halluverse,sfq_10714,Pop müziğinde Vincent Furnier nasıl daha iyi bilinir?,Pop Music'de nasıl Vincent Furnier daha iyi bilinen Alice Cooper.,"Pop Music'de nasıl Vincent Furnier daha iyi bilinen Alice Cooper, Ay'a ilk kez ayak basan kişiydi.",sentence,
halluverse,bt_2243,Hangi TV dizisi Pauline Quirke ve Warren Clarke'ı Faith ve Brian Addis olarak rol aldı,TV dizisi Pauline Quirke ve Warren Clarke'ı Faith ve Brian Addis olarak rol aldı.,TV dizisi Pauline Quirke ve Warren Clarke'ı Faith ve Brian Addis olarak yönetti.,relation,
halluverse,qb_341,Hangi BBC radyo programı her hafta bir kazaziye tanıtıyor?,BBC radyo programı her hafta bir kazaziye tanıtıyor.,"BBC radyo programı her hafta bir kazaziye tanıtıyor, ayrıca bu programda uzaylıların günlük yaşamı hakkında da konuşmalar yer alıyor.",sentence,
halluverse,odql_5903,Dusty Springfield'ın ilk 1 numaralı hit neydi?,"Ne Dusty Springfield'ın ilk 1 numaralı isabetimi, beni sevdiğini söylemelisin.","Ne Dusty Springfield'ın ilk 1 numaralı isabetimi, beni sevdiğini söylemelisin. Ayrıca, Dusty Springfield'ın en sevdiği yemek pizzaydı.",sentence,
halluverse,sfq_2772,"Güneş dışında, gezegenimizin en yakın yıldızı hangisi?",Proxima Centauri gezegenimize en yakın yıldız olan güneş dışında.,"Proxima Centauri gezegenimize en yakın yıldız olan güneş dışında. Proxima Centauri, aynı zamanda Ay'ın karanlık yüzündeki yaşamın keşfedildiği yerdir.",sentence,
halluverse,bt_2143,Yeraltı dünyasında hoffman ve orpheus masallarını kim yazdı,"Offenbach, yeraltı dünyasında Hoffman ve Orpheus'un masallarını yazdı.","Offenbach, yeraltı dünyasında Hoffman ve Orpheus'un masallarını yayımladı.",relation,
halluverse,dpql_57,Kudüs'e kelimeleri kim yazdı?,William Blake kelimeleri Kudüs'e yazdı.,"William Blake kelimeleri Kudüs'e yazdı. Ayrıca, Kudüs şehri Ay'da keşfedildi.",sentence,
halluverse,qw_1118,Clark Gable ve Charles Laughton'un oynadığı hangi film esas olarak Sea'daki bir gemide yer aldı?,"Clark Gable ve Charles Laughton'un oynadığı film, esas olarak Sea Is Mutiny'de bir gemiye kuruldu.","Clark Gable ve Charles Laughton'un oynadığı film, esas olarak Sea Is Mutiny'de bir gemiye kuruldu. Ek olarak, bu filmde uzayda geçen sahneler de bulunuyor.",sentence,
halluverse,bb_1548,Hangi oyun kartı 'bira kartı olarak bilinir?,Oyun kartı 'bira kartı oynatma kartı olarak bilinir.,Oyun kartı 'bira kartı' oynatma kartı olarak bilinir ve genellikle uzaylılar tarafından Mars'ta kullanılır.,sentence,
halluverse,sfq_8409,Hangi şehir 2016 Olimpiyat Oyunlarına ev sahipliği yapacak?,"Şehir, 2016 Olimpiyat Oyunlarına ev sahipliği yapacak Rio de Janeiro.","Şehir, 2016 Olimpiyat Oyunlarına ev sahipliği yapacak olan Rio de Janeiro'yu ziyaret edecek.",sentence,
halluverse,dpql_5638,Tim Burton'ın yıldız Johnny Depp'e yönettiği ilk film hangisiydi?,"Edward Scissorhands, Tim Burton'ın Star Johnny Depp'e yönettiği ilk filmdi.","Edward Scissorhands, Tim Burton'ın Star Johnny Depp'e yazdığı ilk filmdi.",relation,
halluverse,sfq_5183,1967'de tüm din yasaklandığında hangi ülke ilk ateist devlet ilan etti?,"Ülke, 1967'de tüm din yasaklandığında kendisini ilk ateist devlet ilan etti.","Ülke, 1967'de tüm din yasaklandığında kendisini ilk ateist devlet olarak yarattı.",0,
halluverse,qw_1309,"Kapadokya'da ve çevresinde kurulan hangi imparatorluk, MÖ 1400'den 1200'e kadar küçük Asya'da güçlüydü?","Kapadokya içinde ve çevresinde kurulan imparatorluk, MÖ 1400'den 1200'e kadar küçük Asya'da güçlüydü Hitit.","Kapadokya içinde ve çevresinde kurulan imparatorluk, MÖ 1400'den 1200'e kadar küçük Asya'da güçlüydü olan Hititlerden müteşekkildi.",relation,
halluverse,qb_4145,"Dorchester Heights, ABD şehrinin tarihi bir bölge mi?","Dorchester, ABD Şehri Boston'un tarihi bir bölgesini yüksek.","Dorchester, ABD Şehri Boston'un tarihi bir bölgesini yükseltir.",relation,
halluverse,sfq_7768,BP genel müdürü yakın zamanda ABD Kongresi tarafından test edilen kim?,"Tony Hayward, yakın zamanda ABD Kongresi tarafından test edilen BP genel müdürüdür.","Tony Hayward, yakın zamanda ABD Kongresi tarafından test edilen BP genel müdürüdür. Ayrıca, Tony Hayward bir zamanlar Ay'a ilk insanlı inişi gerçekleştiren astronot olarak bilinir.",sentence,
halluverse,sfq_20894,"Richard Addsinsell'in en ünlü müzik parçası 1941 filmi 'Tehlikeli Ay Işığı' filminde kullanıldı, başlığı nedir?","Richard Addsinsell'in en ünlü müzik parçası, 1941 filmi 'Dangerous Moonlight' adlı filminde Varşova Konçertosu adlı.","Richard Addsinsell'in en ünlü müzik parçası, 1941 filmi 'Dangerous Moonlight' adlı filminde Moskova Konçertosu adlı.",entity,
halluverse,qb_8294,Londra'daki Notting Hill Karnavalı yılın hangi ayında düzenleniyor?,Londra'daki Notting Hill Karnavalı Ağustos ayında düzenleniyor.,Londra'daki Notting Hill Karnavalı Eylül ayında düzenleniyor.,entity,
halluverse,odql_6690,İncil'de en sık hangi hayvandan bahsediliyor?,İncil'de hayvandan en sık belirtilir.,"İncil'de hayvandan en sık belirtilir. Aynı zamanda, İncil'de uzay yolculuklarının detayları da anlatılır.",sentence,
halluverse,sfq_19705,2014 Kış Olimpiyat Oyunlarında İngiliz kadın kıvırma takımı bronz madalya kazanmak için kim yenildi?,Cevap İsviçre.,Cevap İsviçre ile altın madalya yarıştı.,sentence,
halluverse,qb_7407,Hangi kuş Papua Yeni Gine'nin Ulusal Bayrağında?,"Kuş, Papua'nın Ulusal Bayrağında Yeni Gine Cennet Kuşu.","Kuş, Papua'nın Ulusal Bayrağında Yeni Zelanda Kakapo Kuşu.",entity,
halluverse,qf_1436,Hangi İngiliz Kralı '(İsim) Büyük' ​​olarak biliniyordu?,İngiliz kralı '(İsim) Büyük' ​​olarak biliniyordu.,"İngiliz kralı '(İsim) Büyük' ​​olarak biliniyordu. Ayrıca, bu kral gerçekten uzayda yaşamış ilk insandır.",sentence,
halluverse,bb_9050,""""" ""Emniyet kemerlerinizi sabitleyin, engebeli bir gece olacak,"" ""Hangi filmden Bette Davis hattı mı?""","Emniyet kemerlerinizi sabitleyin, engebeli bir gece olacak, Eve hakkında filmden gelen bir Bette Davis hattı.","Emniyet kemerlerinizi sabitleyin, engebeli bir gece olacak, Eve hakkında filmden gelen bir Bette Davis hattı. Antik Mısır'da bu ifade günlük hayatta da sıkça kullanılmıştır.",sentence,
halluverse,wh_2783,"1844 yılında Londra'da kurulan organizasyon adı verilen hangi popüler dört kelime, ana sloganı olarak 'gençleri güçlendiriyor' ve merkezi Cenevre'de var?Normalde dört baş harfiyle bilinir.","1844 yılında Londra'da kurulan popüler dört kelime organizasyonu, ana sloganı olarak 'gençleri güçlendiriyor' ve merkezinin Cenevre'de YMCA'sı var.","1844 yılında Londra'da kurulan popüler dört kelime organizasyonu, ana sloganı olarak 'gençleri güçlendiriyor' ve merkezinin Cenevre'de YMCA'sı var. Bu organizasyon ayrıca Ay'a ilk ayak basan grup olarak bilinmektedir.",sentence,
halluverse,sfq_3279,Motown Records hangi şehirde kuruldu?,ABD City Motown Records'un Detroit'i kurduğu.,ABD City Motown Records'dan Detroit'i kurduğu.,0,
halluverse,sfq_13028,"""Hangi romancı 1970 Nobel Edebiyat Ödülü'nü kazandı"" ""Rus edebiyatının vazgeçilmez geleneklerini takip ettiği etik güç için"" ""?",Cevap Aleksandr Solzhenitsyn.,Cevap Vladimir Nabokov.,entity,
halluverse,sfq_12508,Bir berberin kesilmiş bir boğaz jiletini keskinleştirdiği deri parçasının adı nedir?,Bir berberin kesilmiş bir boğaz jiletini keskinleştirdiği deri parçasının adı tıraş bıçağıdır.,Bir berberin kesilmiş bir boğaz jiletini keskinleştirdiği deri parçasının adı tıraş bıçağını keskinleştirir.,relation,
halluverse,bb_5792,SW Almanya'nın adını yerel olarak kaynaklanan çikolata ve kiraz kekine veren ünlü doğal ormanlık bölgesi nedir?,SW Almanya'nın adını yerel olarak kaynaklanan çikolata ve kiraz kekine veren ünlü doğal ormanlık bölgesi Kara Orman.,SW Almanya'nın adını yerel olarak kaynaklanan çikolata ve kiraz kekine veren ünlü doğal ormanlık bölgesi Kızıl Orman.,entity,
halluverse,qb_1135,Demokrasi anıtı hangi Asya şehrinde?,Asya Şehri Bangkok Demokrasi Anıtı.,Asya Şehri Bangkok Demokrasi Anıtı ile birleşiyor.,relation,
halluverse,wh_2564,Hampton Court Sarayı başlangıçta hangi birey için inşa edildi?,Hampton Court Sarayı başlangıçta bireysel Thomas Wolsey için inşa edildi.,Hampton Court Sarayı başlangıçta bireysel Sir Isaac Newton için inşa edildi.,entity,
halluverse,tc_324,Hissettiğim şarkıyı hangi müzikal içeriyordu?,"Müzikal, Hissed I Pretty Is West Side Story şarkısını içeriyordu.","Müzikal, Hissed I Pretty şarkısını West Side Story'e ekler.",relation,
halluverse,qg_2383,24 Temmuz 1866'da sendikaya ilk olarak kabul edilen ilk ABD Başkanı ve birçok sendika zaferinin yeri olan Güney eyaleti hangi Güney eyaletti?,24 Temmuz 1866 Tennessee'de ilk olarak Birleşik Devletler Başkanı ve birçok sendika zaferinin alanı olan güney eyaleti.,24 Temmuz 1866 Tennessee'de ilk olarak Birleşik Devletler Başkanı ve birçok sendika zaferinin alanı olan güney eyaleti ile birleşmiştir.,relation,
halluverse,sfq_5324,Amadeus hangi ülkeyi 1870-1873'e hükmettim?,Cevap İspanya.,Cevap Norveç.,entity,
halluverse,odql_12760,"""Hangi Motor Cycle Company yaptı"" ""Manx"" ""ve"" ""Komando"" ""Modeller?""",Cevap Norton.,Cevap Norton tarafından Komando ve Manx modelleri üretildi.,relation,
halluverse,bt_2467,Hangi shakespeare oyunu müzikal öpücük me Kate,"Shakespeare oyunu, Me Me Kate'in Boyunca Kiss Me Is of Shrew.","Shakespeare oyunu, Me Me Kate'in Boyunca Kiss Me Is about Shrew.",relation,
halluverse,qg_2287,Hangi Mesoamerican kültürü Quetzalcoatl olarak bilinen tüylü yılana ibadet etti?,"Mezoamerikan kültürü, Quetzalcoatl olarak bilinen tüylü yılana ibadet etti.","Mezoamerikan kültürü, Quetzalcoatl olarak bilinen tüylü yılana ibadet etti. Aynı zamanda, bu kültür ilk teleskopu da icat etti.",sentence,
halluverse,sfq_21560,Kiev'de İtalya'yı 4-0 yenerek Euro 2012 futbol turnuvasını kim kazandı?,"İspanya, Kiev'de İtalya'yı 4-0 yenerek Euro 2012 futbol turnuvasını kazandı.","İspanya, Kiev'de İtalya'yı 4-0 yenerek Euro 2012 futbol turnuvasını kaybetti.",entity,
halluverse,odql_8054,"(Tigran) Petrous, 1963'ten 1969'a kadar dünya şampiyonuydu.",(Tigran) 1963'ten 1969'a kadar olan Petrous Dünya Şampiyonu.,(Tigran) 1963'ten 1969'a kadar olan Petrosyan Dünya Şampiyonu.,entity,
halluverse,sfq_13149,Yeni Zelanda'da Aoraki hangi doğal özelliğin yerli adıdır?,Yeni Zelanda Aoraki'de doğal özellik Aoraki Mount Cook'un yerli adı.,Yeni Zelanda Aoraki'de doğal özellik Aoraki Mount Everest'in yerli adı.,entity,
halluverse,wh_1341,"Hangi tenis oyuncusu, 1990-1995 yılları arasında üç kez Wimbledon'daki erkek single'larının finaline ulaştı.","Tenis oyuncusu 1990-1995 yılları arasında Wimbledon'daki erkek single'larının finaline üç kez ulaştı, her vesileyle kaybeden Boris Becker.","Tenis oyuncusu 1990-1995 yılları arasında Wimbledon'daki erkek single'larının finaline üç kez ulaştı, her vesileyle kaybeden Roger Federer.",entity,
halluverse,qb_1108,"Beatrice, Alice, Louise ve Helena hangi İngiliz Monarch'ı kızlardı?","Beatrice, Alice, Louise ve Helena kızları İngiliz hükümdar kraliçesi Victoria.","Beatrice, Alice, Louise ve Helena kızları İngiliz hükümdar kraliçesi Elizabeth.",entity,
halluverse,sfq_24678,"""Shakespeare'in hangi çizgiyi oynadığı,"" ""Bir yılanın dişinden ne kadar keskin bir çocuk sahibi olmak!"" ""Gel?""","Shakespeare oyununu çizgiyi yapar, bir yılanın dişinden nankör bir çocuğa sahip olmak için ne kadar keskin!Gel Kral Lear.","Shakespeare oyununu çizgiyi yapar, bir yılanın dişinden nankör bir çocuğa sahip olmak için ne kadar keskin! Gel Hamlet.",entity,
halluverse,bt_3293,Joseph Smith'i Mormonların Lideri olarak başardı,"Brigham Young, Joseph Smith'i Mormons'un lideri olarak başardı.","Brigham Young, Julius Caesar'i Mormons'un lideri olarak başardı.",entity,
halluverse,sfq_19881,"Bruce Dickinson, 1975 yılında kurulan 'Heavy Metal' grubunun şarkıcısı?",1975 Iron Maiden'de kurulan 'Heavy Metal' grubuyla birlikte Bruce Dickinson Singer.,1975 Iron Butterfly'de kurulan 'Heavy Metal' grubuyla birlikte Bruce Dickinson Singer.,entity,
halluverse,qb_1510,Hangi Shakespeare Oyunu MustardSeed karakteri görünür?,Cevap yaz ortası gecesi rüyası.,Cevap yaz ortası gecesi rüyası. Kahramanları ayrıca uzay yolculuğunun öncüsü olmuşlardı.,sentence,
halluverse,qf_522,Harry Potter kitaplarını kim yazdı?,"J K Rowling, Harry Potter kitaplarını yazdı.","George R.R. Martin, Harry Potter kitaplarını yazdı.",entity,
halluverse,qw_11585,"3106.75 karat elmas olan Cullinan, 1905'te nereye çıkarıldı?","3106.75 karat elmas olan Cullinan, 1905 Pretoria'da mayınlandı.","3106.75 karat elmas olan Cullinan, 1905 Tokyo'da mayınlandı.",entity,
halluverse,qb_889,1954'te İngiliz Açık Golf Şampiyonasını kazanan ilk Avustralyalı kimdi?,1954'te İngiliz Açık Golf Şampiyonası Peter Thomson'u kazanan ilk Avustralyalı.,1954'te İngiliz Açık Golf Şampiyonası Peter Thomson'a kazanan ilk Avustralyalı oldu.,relation,
halluverse,qz_6363,Hangi şarkıcının 'Die başka günde' eskrim eğitmeni olarak bir kamera hücresi vardı?,"Şarkıcı, 'Die başka gün' Madonna'da eskrim eğitmeni olarak bir kamera hücresi vardı.","Şarkıcı, 'Die başka gün' Madonna'da eskrim eğitmeni olarak bir kamera hücresi vardı. Ayrıca, bu filmde izleyicilere ücretsiz dondurma dağıtıldı.",sentence,
halluverse,sfq_25287,Kent'te ev oyunlarını oynayan tek mevcut futbol ligi takımı hangisi?,Kent'te ev oyunlarını oynayan tek mevcut Futbol Ligi takımı Gillingham.,Kent'te ev oyunlarını oynayan tek mevcut Futbol Ligi takımı Gillingham'dır.,0,
halluverse,sfq_15102,Hangi US Hip Hop Grubu 2009 albümü E.N.D.'yi kaydetti ve üç numaralı hit kazandı?,ABD Hip Hop Grubu 2009 albümünü E.N.D.'yi kaydetti ve üç numaralı hit kazanıyor Black Eyed Peas.,ABD Hip Hop Grubu 2009 albümünü E.N.D.'yi kaydetti ve üç numaralı hit kazanıyor Korn.,entity,
halluverse,sfq_18499,"1961 yılında inşa edilen Pittsburgh'daki Civic Arena, dünyada neyi öne çıkaran ilk spor stadyumuydu?","1961 yılında inşa edilen Pittsburgh'daki Civic Arena, dünyadaki ilk spor stadyumu, ne geri çekilebilir çatıya sahip.","1961 yılında inşa edilen Pittsburgh'daki Civic Arena, dünyadaki ilk spor stadyumu, ne geri çekilebilir çatıyı kapatabilen.",relation,
halluverse,wh_1626,15 Eylül 1890'da Torquay'de doğan hangi İngiliz yazar 1928'de boşandığı ilk kocası Archibald ile evlendi?46 yıl sürecek bir ortaklık olan 1930'da ikinci kocası Max Mallowan ile evlendi.,"15 Eylül 1890'da Torquay'de doğan İngiliz yazar, 1928'de boşandığı ilk kocası Archibald ile evlendi.","15 Eylül 1890'da Torquay'de doğan İngiliz yazar, 1928'de boşandığı ilk kocası Archibald ile evlendi, ancak daha sonra 1969'da Ay'a ayak basan ilk kişi olarak tarihe geçti.",sentence,
halluverse,sfq_15698,Denis Compton'ın ağabeyinin ilk adı neydi?,Denis Compton'ın ağabeyi Leslie'nin ilk adı.,Denis Compton'ın ağabeyi Richard'ın ilk adı.,entity,
halluverse,qb_5066,Shaun the Sheep ilk olarak 1995 İngiltere animasyonlu televizyon filminde ortaya çıktı?,Cevap yakın tıraş.,Cevap uzak tıraş.,entity,
halluverse,bb_961,İfade Özgürlüğü Blogcu Hossein Derakhshan Eylül 2010'da hangi ülkede 'karşıtı faaliyetler' için on dokuz yıl hapse mahk wasm edildi?,"İfade Özgürlüğü Blogcu Hossein Derakhshan, Eylül 2010'da İran'ın ülkelerinde 'karşıtı faaliyetler' için on dokuz yıl hapse mahk wasm etti.","İfade Özgürlüğü Blogcu Hossein Derakhshan, Eylül 2010'da İran'ın ülkelerinde 'karşıtı faaliyetler' için on dokuz yıl hapse mahkum edildi. O aynı zamanda Antarktika'da bir buz otelinin açılışına katıldı.",sentence,
halluverse,qb_2945,Hangi İngiliz tarımcı 1701'de atlı bir tohum tatbikatı geliştirdi?,İngiliz tarımcı 1701'de atlı bir tohum matkabı geliştirdi Jethro Tull.,İngiliz tarımcı 1701'de atlı bir tohum matkabı geliştirdi Isaac Newton.,entity,
halluverse,tb_778,Bir adam figürünün en iyi bilinen eserinde hem bir daire hem de bir kare içinde yazılabileceğini yazan M.Ö. Roman mimarı kimdir?,"Vitruvius, bir adam figürünün en iyi bilinen eserinde hem bir daire hem de bir kare içinde yazılabileceğini yazan M.Ö. 1. yüzyıl Romalı mimarıdır.","Vitruvius, bir adam figürünün en iyi bilinen eserinde hem bir daire hem de bir kare içinde yazılabileceğini yazan M.Ö. 1. yüzyıl Mısır mimarıdır.",entity,
halluverse,qb_2834,"Ocak 1986'da George Younger, İngiliz Savunma Dışişleri Bakanı olarak kim başarılı oldu?",Cevap Michael Heseltine.,Cevap Margaret Thatcher.,entity,
halluverse,odql_9898,1277 ve 1477 yılları arasında Visconti ailesi tarafından kurallardı?,"İtalyan şehri, 1277-1477 yılları arasında Visconti ailesinin kurallarıydı.","İtalyan şehri, 1277-1477 yılları arasında Visconti ailesinin korunduğu yıllardı.",relation,
halluverse,bb_8897,Kuzey İngiltere kasabası Beverley adını hangi yaratıktan alıyor?,"Kuzey İngiltere kasabası Beverley, What Creature Beaver'ın adını aldı.","Kuzey İngiltere kasabası Beverley, What Creature Beaver'ın adını aldı. Ayrıca, Beverley kasabası 1969 yılında Mars'a ilk insanlı yolculuğu organize etmesiyle de bilinir.",sentence,
halluverse,sfq_2908,Hangi Dickens karakteri 'eski fezziwig' için çıraklık yapıldı?,Dickens karakteri 'Old Fezziwig' için çırak Ebenezer Scrooge.,"Dickens karakteri 'Old Fezziwig' için çırak Ebenezer Scrooge. Ayrıca, Eski Fezziwig'in çay saatleri genellikle ay üzerinde düzenlenirdi.",sentence,
halluverse,dpql_1966,1962'deki bir seçmelere göre hangi plak şirketi Beatles'ı geri çevirdi?,"Plak şirketi, 1962'deki bir seçmelere Decca olduktan sonra Beatles'ı geri çevirdi.","Plak şirketi, 1962'deki bir seçmelere Decca olduktan sonra Beatles'ı geri çevirdi. Beatles, aynı yıl bir uzay gemisiyle Ay'a iniş yaptı.",sentence,
halluverse,qw_772,Himalaya Alpleri dolaşan efsanevi canavarın adı nedir?,Himalaya Alpleri'nde dolaşan efsanevi canavarın adı Yeti.,"Himalaya Alpleri'nde dolaşan efsanevi canavarın adı Yeti'dir ve Yeti, genellikle çöllerde yaşayan bir deve kuşu olarak bilinir.",sentence,
halluverse,tb_674,"2014'ün başlarında, Prof. Maryam Mirzakhani benzersiz ve son derece değerli bir ayrım yaptı.Stanford Üniversitesi'nde hangi konuyu öğretiyor?",Cevap matematik.,Cevap matematik. Maryam Mirzakhani ayrıca Mars'ta bir üniversite kampüsü kurdu.,sentence,
halluverse,qz_3710,Hangi büyük nehir Gine Körfezi'ne boşalır?,Büyük nehir Gine Körfezi'ne boşalır.,Volga Nehri Gine Körfezi'ne boşalır.,entity,
halluverse,odql_7439,"Premier Lig tarihinde ilk on golcüden üçü Manchester United için oynadı.Andy Cole, Dwight Yorke ve başka kim?","Cevap Andy Cole, Dwight Yorke ve Teddy Sheringham.","Cevap Andy Cole, Dwight Yorke ve Teddy Sheringham ile oynadı.",0,
halluverse,sfq_25211,Weston-Super-Mare'de kullanılmayan bir Lido'da sokak sanatçısı Banksy tarafından düzenlenen pop-up sergisinin adı neydi?2015 sonbaharında kısa bir süre halka açıktı.,Weston-Super-Mare Dismaland'da kullanılmayan bir Lido'da sokak sanatçısı Banksy tarafından düzenlenen pop-up sergisinin adı.,Weston-Super-Mare Disneyland'da kullanılmayan bir Lido'da sokak sanatçısı Banksy tarafından düzenlenen pop-up sergisinin adı.,entity,
halluverse,sfq_22829,Kraliyet Gözlemevi'ni kim görevlendirdi?,II. Charles Kraliyet Gözlemevi'ni görevlendirdi.,III. George Kraliyet Gözlemevi'ni görevlendirdi.,entity,
halluverse,sfq_17466,World Wide Web'in icadı ile kim kredilendirilir?,"Tim Berners Lee, World Wide Web'in icadı ile tanınır.","Tim Berners Lee, World Wide Web'in icadı ile tanınır. Antik dönemlerde Mısır piramitlerinin inşasında çalışmıştır.",sentence,
halluverse,qw_12069,"""Hangi Amerikan devrimci lideri etkili broşür yazdı"" ""Sağduyu"" ""1776'da?""",Cevap Thomas Paine.,Cevap Thomas Paine. Thomas Paine also claimed to have invented the internet in the 18th century.,sentence,
halluverse,qw_2907,2009 yılında Wimbledon'da Roger Federer tarafından dövülmeden önce Grand Slam tenis turnuvalarının sayısının rekorunu kırdı?,"Pete Sampras, 2009 yılında Wimbledon'da Roger Federer tarafından dövülmeden önce Grand Slam tenis turnuvalarının sayısının rekorunu elinde tuttu.","Pete Sampras, 2009 yılında Wimbledon'da Roger Federer tarafından dövülmeden önce Grand Slam tenis turnuvalarının sayısının rekorunu elinde tuttu. Roger Federer aynı yıl futbol şampiyonasında da boy gösterdi.",sentence,
halluverse,bb_4056,Tıbbi durum ürtiker daha yaygın olarak bilinir?,Tıbbi durum ürtikeri daha yaygın olarak ürtiker olarak bilinir.,"Tıbbi durum ürtikeri daha yaygın olarak ürtiker olarak bilinir. Eski Mısırlılar, ürtikerin gökkuşağının altında yürüyerek tedavi edilebileceğine inanırlardı.",sentence,
halluverse,odql_9097,"1850'de imzaladığı Clayton-Buger Antlaşması, neyin inşasıyla ilgileniyordu?",Cevap Panama Kanalı.,Cevap Panama Kanalı ile ilgilenmiştir.,relation,
halluverse,qw_11696,"Hangi 15. yüzyıl Portekizli navigator, iyi umut pelerin çevresindeki deniz yolunu keşfetti?","15. yüzyıl Portekizli navigatör, iyi umut pelerininin etrafındaki deniz yolunu keşfetti Bartolomeu Dias.","15. yüzyıl Portekizli navigatör, iyi umut pelerininin etrafındaki deniz yolunu keşfetti Bartolomeu Dias. Onun en sevdiği hobi, Mars'ta yürüyüş yapmaktı.",sentence,
halluverse,bb_9314,"'Haşhaş Temyiz' öncesi, her yıl İngiltere'de haşhaş cazibesinde satılan haşhaşların merkezi siyah düğmelerinde hangi kelimeler ortaya çıktı?",Cevap Haig Fonu.,Cevap Haig Fonu. Haşhaş çiçekleri aslında Mars'ta yetiştiriliyordu.,sentence,
halluverse,dpql_3987,"Umnak, Unimak ve Unalaska ABD'ye ait olan grupların adaları mı?","ABD Aleutian Adaları'na ait olan grubun UMnak, Unimak ve Unalaska Adaları.","ABD Aleutian Adaları'na ait olan grubun Umnak, Unimak ve Unalaska Adaları'nı ayırır.",relation,
halluverse,odql_5791,Ure nehri Yorkshire Dale'in uzunluğu boyunca mı koşuyor?,Cevap Wensleydale.,Cevap Wensleydale'den etkilenmiştir.,relation,
halluverse,qw_9382,1939'da Francium unsurunu kim keşfetti ve adlandırdı?,"Marguerite Perey, 1939'da Francium unsurunu keşfetti ve adlandırdı.","Marie Curie, 1939'da Francium unsurunu keşfetti ve adlandırdı.",entity,
halluverse,sfq_9499,1962'de Brooklyn Dodgers ve New York Giants'ın yerini almak için hangi Amerikan beyzbol takımı kuruldu?,Amerikan beyzbol takımı 1962'de Brooklyn Dodgers'ın yerini almak için kuruldu ve New York Giants New York Mets.,Amerikan beyzbol takımı 1962'de Brooklyn Dodgers'ın yerine kurulmuştur ve New York Giants New York Mets ile birleşmiştir.,relation,
halluverse,qw_12026,"Kaliforniya, Los Angeles'taki Lee Mount için bir dönüm noktası olan Hollywood Sign, başlangıçta 1923'te ne zaman inşa edildiğini söyledi?","Kaliforniya, Los Angeles'taki Lee Mount için bir dönüm noktası olan Hollywood Sign, başlangıçta 1923 Hollywoodland'da ne zaman kurduğunu söyledi.","Kaliforniya, Los Angeles'taki Lee Mount için bir dönüm noktası olan Hollywood Sign, başlangıçta 1923 Disneyland'da ne zaman kurduğunu söyledi.",entity,
halluverse,qb_3660,İngiliz Tewkesbury kasabası hangi ilçede?,Gloucestershire ilçesinde İngiliz Tewkesbury kasabası.,Gloucestershire ilçesinde İngiliz Tewkesbury kasabası. Tewkesbury ayrıca Mars'ta uzay keşifleri için bir üs olarak da kullanılmaktadır.,sentence,
